Symbol,Company,GICS_Sector,GICS_Sub_Industry,Current_Price,High_52_Week,Low_52_Week,SMA5,SMA10,SMA20,SMA50,SMA200,Score,Target_Pcnt,Target_Price,Stop_Loss
INCY,Incyte,Health Care,Biotechnology,101.1,110.57,55.17,101.95,102.71,102.8,101.71,85.55,0.2,6.88,108.06,97.54
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,98.44,98.5,66.7,97.12,96.02,91.57,85.61,81.95,0.2,3.16,101.55,81.58
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,82.97,84.47,59.19,78.68,75.61,73.7,69.53,68.87,0.2,-2.6,80.81,66.6
IRM,Iron Mountain,Real Estate,Other Specialized REITs,109.73,109.73,74.93,102.47,96.52,94.88,88.56,94.25,0.1,-3.84,105.52,84.25
JBL,Jabil,Information Technology,Electronic Manufacturing Services,255.05,265.96,116.73,258.43,251.71,248.25,236.11,211.14,0.2,3.61,264.26,232.23
KVUE,Kenvue,Consumer Staples,Personal Care Products,18.69,23.43,13.78,18.37,18.0,17.64,17.19,18.7,0.1,-0.16,18.66,16.62
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,233.31,238.02,127.02,234.35,229.62,222.95,213.75,178.96,0.2,2.51,239.17,206.73
KMB,Kimberly-Clark,Consumer Staples,Household Products,109.41,142.87,97.56,107.17,104.79,102.66,101.66,117.97,0.1,-0.48,108.88,96.42
KIM,Kimco Realty,Real Estate,Retail REITs,22.71,22.71,18.04,22.19,21.77,21.32,20.69,20.82,0.1,-0.7,22.55,20.1
LHX,L3Harris,Industrials,Aerospace & Defense,345.46,360.54,190.99,344.27,344.41,348.25,319.67,279.55,0.2,4.72,361.77,334.75
LH,Labcorp,Health Care,Health Care Services,282.67,290.15,210.49,281.84,278.33,273.95,263.78,262.98,0.2,1.18,286.01,261.9
LII,Lennox International,Industrials,Building Products,566.35,661.14,443.09,552.05,534.57,520.14,510.79,541.92,0.3,-0.17,565.39,474.9
LIN,Linde plc,Materials,Industrial Gases,481.0,481.82,389.38,467.64,464.32,456.17,435.89,450.83,0.3,-0.28,479.65,432.68
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,158.19,174.06,115.79,152.28,146.83,145.68,143.89,148.28,0.1,-1.38,156.01,135.34
L,Loews Corporation,Financials,Multi-line Insurance,108.79,111.27,80.73,109.97,109.46,106.2,105.45,97.68,0.2,4.15,113.3,99.11
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,287.42,287.42,207.51,284.31,279.46,276.09,259.92,241.16,0.2,0.39,288.54,263.65
LYB,LyondellBasell,Materials,Specialty Chemicals,57.65,71.21,41.19,57.61,55.78,53.13,48.22,50.63,0.1,3.56,59.7,46.57
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,203.22,208.64,116.64,203.66,197.75,186.25,180.2,175.87,0.2,4.64,212.65,159.84
MAS,Masco,Industrials,Building Products,76.19,77.82,57.89,75.93,72.97,70.59,67.39,66.68,0.2,2.43,78.04,63.13
MCD,McDonald's,Consumer Discretionary,Restaurants,327.6,332.08,282.24,326.89,324.68,317.42,313.07,304.63,0.2,1.96,334.02,300.83
MCK,McKesson Corporation,Health Care,Health Care Distributors,934.38,962.32,591.19,940.22,912.72,869.55,839.18,763.76,0.2,5.03,981.38,757.7
MRK,Merck & Co.,Health Care,Pharmaceuticals,121.41,121.93,71.42,118.95,118.4,113.58,107.86,88.71,0.2,2.1,123.96,103.2
MET,MetLife,Financials,Life & Health Insurance,77.3,83.69,66.44,77.55,77.36,76.85,78.4,77.63,0.4,2.46,79.2,74.51
MRNA,Moderna,Health Care,Biotechnology,42.23,51.87,22.36,41.36,41.62,44.05,36.74,29.35,0.2,19.87,50.62,37.49
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,53.22,61.12,42.77,52.75,51.57,50.26,48.38,48.45,0.1,1.6,54.07,46.45
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,62.59,69.54,51.51,61.46,60.52,59.24,56.23,60.9,0.1,-0.34,62.38,56.11
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,29.65,37.21,22.27,30.05,29.1,28.47,26.27,30.71,0.1,3.54,30.7,26.24
MSI,Motorola Solutions,Information Technology,Communications Equipment,461.81,487.57,363.49,435.73,424.74,412.56,391.05,419.02,0.1,-3.03,447.82,377.3
MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,525.96,624.75,501.79,527.01,553.6,575.05,570.77,562.81,0.2,21.85,640.88,509.24
NEE,NextEra Energy,Utilities,Multi-Utilities,93.78,93.78,62.68,91.48,90.12,87.92,83.75,76.89,0.2,-0.15,93.64,82.19
NI,NiSource,Utilities,Multi-Utilities,46.36,46.36,36.11,45.08,44.51,44.09,42.56,41.19,0.2,-1.7,45.57,42.61
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",21.51,27.2,15.5,22.82,22.76,22.0,22.03,21.78,0.2,12.09,24.11,19.88
NVDA,Nvidia,Information Technology,Semiconductors,182.78,207.03,94.29,187.67,183.58,185.3,184.4,171.66,0.2,7.34,196.2,174.42
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,96.66,107.82,85.97,94.43,95.11,96.87,94.83,96.81,0.1,5.62,102.09,91.65
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,46.04,50.97,35.51,46.34,45.89,44.93,42.8,43.03,0.1,3.56,47.68,42.18
ON,ON Semiconductor,Information Technology,Semiconductors,72.21,72.21,31.95,69.3,65.78,63.86,59.59,52.46,0.2,-1.32,71.26,56.46
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,10.32,19.65,10.05,10.62,10.69,11.13,12.44,13.84,0.2,17.64,12.14,10.12
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,1001.45,1001.45,512.49,989.99,977.12,954.98,917.47,775.2,0.2,0.46,1006.06,903.86
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,165.94,170.49,124.61,167.15,165.8,156.66,149.68,141.16,0.2,6.14,176.13,137.18
PFE,Pfizer,Health Care,Pharmaceuticals,27.58,27.73,20.13,27.49,27.04,26.41,25.55,24.06,0.2,1.67,28.04,24.79
PCG,PG&E Corporation,Utilities,Multi-Utilities,18.14,18.14,12.94,17.18,16.52,15.86,15.7,15.44,0.2,-2.43,17.7,14.02
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,159.73,161.5,90.32,158.46,154.95,148.08,140.84,129.04,0.2,2.7,164.04,132.1
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,99.38,99.38,84.16,96.21,94.85,93.6,90.07,88.67,0.2,-1.77,97.62,89.58
PNC,PNC Financial Services,Financials,Diversified Banks,229.34,242.48,144.5,235.16,235.55,228.92,216.83,192.76,0.2,6.46,244.16,213.68
POOL,Pool Corporation,Consumer Discretionary,Distributors,265.83,358.43,228.75,267.35,262.74,262.66,249.16,284.01,0.1,2.96,273.7,251.63
PPL,PPL Corporation,Utilities,Electric Utilities,37.81,37.81,32.67,36.43,36.02,36.32,35.25,35.28,0.1,-0.69,37.55,35.09
PLD,Prologis,Real Estate,Industrial REITs,138.96,140.48,87.44,138.6,136.25,132.73,130.21,115.97,0.2,1.95,141.67,123.79
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,86.38,88.72,75.32,83.89,82.19,81.17,80.19,80.98,0.1,-1.32,85.24,77.11
PSA,Public Storage,Real Estate,Self-Storage REITs,300.43,308.4,258.1,293.57,287.75,284.92,274.95,282.19,0.3,-0.19,299.86,269.98
PHM,PulteGroup,Consumer Discretionary,Homebuilding,142.57,142.57,91.48,138.1,135.17,130.81,126.73,119.5,0.4,-0.44,141.94,119.68
PWR,Quanta Services,Industrials,Construction & Engineering,524.07,524.07,236.44,517.82,500.59,486.81,458.09,408.1,0.2,0.69,527.69,445.94
Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,111.58,,,109.83,103.62,101.04,91.06,,0.1,0.95,112.64,89.45
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,158.67,175.33,122.48,161.37,164.98,167.03,165.6,160.03,0.2,11.29,176.58,157.47
O,Realty Income,Real Estate,Retail REITs,65.66,65.66,49.89,64.39,63.3,62.01,59.13,56.95,0.2,-0.41,65.39,58.64
REG,Regency Centers,Real Estate,Retail REITs,76.18,77.07,63.5,76.28,75.08,73.19,70.51,70.1,0.2,2.0,77.7,68.67
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,803.17,812.27,481.73,780.2,774.24,762.18,759.85,627.39,0.2,-0.67,797.79,726.59
RF,Regions Financial Corporation,Financials,Regional Banks,29.73,30.95,17.76,30.41,30.29,29.16,28.22,25.09,0.2,6.39,31.63,26.68
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,394.43,430.31,216.41,401.29,411.75,415.19,408.15,356.02,0.2,11.29,438.96,391.43
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,196.54,196.54,121.95,194.15,192.12,190.3,186.32,156.49,0.4,-0.18,196.19,184.41
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",319.69,363.48,176.29,336.31,334.46,314.3,295.06,296.0,0.1,14.87,367.23,261.37
SHW,Sherwin-Williams,Materials,Specialty Chemicals,368.96,374.36,311.42,366.76,364.17,357.76,343.0,345.95,0.1,1.18,373.31,342.2
SPG,Simon Property Group,Real Estate,Retail REITs,196.82,199.6,135.26,195.18,194.9,190.4,186.53,172.63,0.2,2.09,200.93,179.87
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,110.52,115.07,92.55,109.89,108.74,106.0,102.13,104.7,0.1,1.66,112.35,99.66
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,51.57,54.27,32.79,48.61,45.76,44.06,41.0,42.07,0.1,-2.21,50.43,37.7
SOLV,Solventum,Health Care,Health Care Technology,75.54,86.14,63.01,78.3,77.58,78.02,80.37,75.13,0.2,7.84,81.46,74.58
LUV,Southwest Airlines,Industrials,Passenger Airlines,51.09,54.26,23.67,52.16,52.1,47.7,43.69,35.01,0.2,12.29,57.37,38.03
SBUX,Starbucks,Consumer Discretionary,Restaurants,93.79,113.43,77.9,97.24,96.34,95.65,90.13,87.33,0.2,6.82,100.19,91.1
STLD,Steel Dynamics,Materials,Steel,191.68,205.78,108.09,200.17,197.46,187.24,177.6,147.01,0.2,9.45,209.79,164.68
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",30.54,60.71,28.27,31.97,31.82,31.56,31.38,41.7,0.1,12.74,34.43,28.68
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,115.72,125.02,82.84,113.89,112.52,108.69,102.44,95.31,0.2,1.88,117.9,99.5
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,660.14,661.43,435.54,656.83,644.36,626.75,565.27,537.06,0.2,2.38,675.85,577.64
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,432.43,474.47,273.56,406.7,376.41,360.59,323.59,333.67,0.1,-3.09,419.07,302.1
TXT,Textron,Industrials,Aerospace & Defense,98.1,98.75,60.68,97.09,94.07,93.35,90.5,82.52,0.2,2.63,100.68,86.01
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,294.17,301.49,231.02,296.41,295.29,286.73,285.77,273.36,0.2,4.28,306.76,266.71
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,63.92,65.75,50.27,64.39,64.79,63.81,60.42,55.66,0.2,5.77,67.61,60.02
USB,U.S. Bancorp,Financials,Diversified Banks,57.69,60.69,35.28,59.08,59.06,57.35,55.04,47.76,0.2,6.21,61.27,53.44
URI,United Rentals,Industrials,Trading Companies & Distributors,869.5,1015.58,547.11,872.39,851.98,871.87,854.04,839.56,0.4,12.17,975.32,768.45
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,200.18,203.92,101.7,200.38,196.51,189.92,178.87,155.42,0.2,3.21,206.61,173.25
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,491.47,513.76,366.54,470.42,469.69,467.59,460.32,435.56,0.2,-0.27,490.14,445.02
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,29.3,32.93,27.29,29.17,28.82,28.61,28.18,30.33,0.1,0.68,29.5,27.72
VMC,Vulcan Materials Company,Materials,Construction Materials,327.57,330.37,219.27,325.39,318.99,309.66,301.18,285.99,0.2,1.31,331.86,287.45
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,1131.79,1202.47,911.85,1165.81,1164.5,1112.53,1053.4,1013.86,0.2,8.67,1229.92,995.11
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,256.05,256.05,159.62,251.09,245.26,238.08,225.98,205.74,0.2,-0.02,256.0,220.18
WEC,WEC Energy Group,Utilities,Electric Utilities,115.76,116.56,100.36,113.43,112.59,111.14,107.67,107.82,0.1,-0.74,114.9,107.37
WELL,Welltower,Real Estate,Health Care REITs,210.71,210.71,134.74,204.96,197.22,191.42,190.41,171.86,0.2,-0.82,208.98,173.84
YUM,Yum! Brands,Consumer Discretionary,Restaurants,160.58,163.28,137.04,160.13,159.92,157.26,153.92,147.61,0.2,2.11,163.97,150.55
